Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
Nagboo,Nagboo,Rural,Batch 2,East Mamprusi,350,349,Disbursement
Achuma,Achuma,Rural,Batch 3,Chereponi,189,166,Disbursement
Gozesi,Gozesi,Rural,Batch 3,Garu,35,35,Disbursement
Doninga-Dilogsa,Doninga-Dilogsa,Rural,Batch 3,Builsa South,30,28,Disbursement
Binaba-Agaogo,Binaba-Agaogo,Rural,Batch 2,Bawku West,126,126,Disbursement
Zandoya/Yinduri,Zandoya/Yinduri,Rural,Batch 2,Talensi,94,94,Disbursement
Nankirinsa,Nankirinsa,Rural,Batch 2,Builsa North,88,88,Disbursement
Jangor-Kuak,Jangor-Kuak,Rural,Batch 4,Bunkpurugu-Nakpanduri,22,18,Disbursement
Garinkuka,Garinkuka,Rural,Batch 4,Chereponi,43,29,Disbursement
ADABOYA,ADABOYA,Rural,Batch 4,Bongo,100,100,Mentoring
AWICHANAYERI,AWICHANAYERI,Rural,Batch 4,Builsa North,153,153,Mentoring
DAGLIG-DABORIN,DAGLIG-DABORIN,Rural,Batch 4,Nabdam,80,80,Mentoring
YARIGU,YARIGU,Rural,Batch 5,Bawku West,44,44,Mentoring
FUMBISI*,FUMBISI,Rural,Batch 5,Builsa South,9,9,Mentoring
KPANABONG,KPANABONG,Rural,Batch 5,Chereponi,31,31,Disbursement
KANTOSIFONG,KANTOSIFONG,Rural,Batch 5,Mamprugu Moagduri,82,82,Mentoring
NAMONGO,NAMONGO,Rural,Batch 5,Yunyoo-Nasuan District,105,105,Disbursement
TAKORAYIRI,TAKORAYIRI,Rural,Batch 5,West Mamprusi,63,63,Mentoring
ANAFOBIISI KANSERENGA,ANAFOBIISI KANSERENGA,Rural,Batch 5,Bongo,44,44,Disbursement
KORIG/GBAMBEI,KORIG/GBAMBEI,Rural,Batch 5,Talensi,67,67,Mentoring
BENGURI (MAALNATING),BENGURI (MAALNATING),Rural,Batch 5,Garu,70,70,Mentoring
Soe,Soe,Rural,Batch 5,Bongo,9,9,Disbursement
SANDEMA-KORI,SANDEMA-KORI,Rural,Batch 5,Builsa North,59,59,Disbursement
Gambaga - Zimasa,GAMBAGA-ZIMASA,Rural,Batch 5,East Mamprusi,85,85,Disbursement
Ajengo Natinga- Tesnatinga,Ajengo Natinga,Rural,Batch 5,Pusiga,121,121,Formation
MUTIENSA,MUTIENSA,Rural,Batch 5,Builsa North,130,130,Disbursement
DOBA CLUSTER,DOBA GORUM,Urban,Batch 5,Kassena-Nankana Municipal,115,115,Formation
GUMONGO CLUSTER,SAFORO,Urban,Batch 5,Kassena-Nankana Municipal,79,79,Formation
BONIA CLUSTER,BONIA*,Urban,Batch 5,Kassena-Nankana Municipal,105,105,Formation
TEMPELA- WULUGU,TEMPELA- WULUGU,Rural,Batch 5,West Mamprusi,70,70,Disbursement
