Model Name,Precision,Recall,Accuracy,F1_Score
Gradient Boosting,0.9196126773470306,0.8957017969888296,0.8957017969888296,0.9041205320542152
Random Forest,0.9060837358447121,0.9022583778533269,0.9022583778533269,0.9040296753661948
Decision Tree,0.9076323974025862,0.8827100534239922,0.8827100534239922,0.8919967392298842
SVM,0.9212896057391068,0.8513841670713939,0.8513841670713939,0.872249412862564
Logistic Regression,0.9187621965963164,0.851748421563866,0.851748421563866,0.8721367876384123
KNN,0.9022050076366029,0.8558766391452162,0.8558766391452162,0.8720320322196842
SGD,0.9189343414078454,0.8332928606119475,0.8332928606119475,0.8585185928356501
